Plaats,Volgnummer,Puntnaam,Puntnummer,Omschrijving,datum,richting vanuit,X,Y,Picture,Opmerkingen,Personen,Voertuigen,Nakijken
Gorredijk,1,Opsterland 27,110308,Postkantoor,1973,,200428.21,557550.73,Gorredijk%2001.jpg,bakfiets op brug,,,
Gorredijk,2,Opsterland 26,110308,Voorm. H.K. Gorredijk,1987,,200407.76,557593.13,Gorredijk%2002.jpg,,,,
Gorredijk,3,Opsterland 26,110308,Voorm. H.K. Gorredijk,1987,,200407.76,557593.13,Gorredijk%2003.jpg,,,,
Gorredijk,4,Opsterland 26,110308,Voorm. H.K. Gorredijk,1987,,200407.76,557593.13,Gorredijk%2004.jpg,,,,
Gorredijk,5,Opsterland 26,110308,H.K. Gorredijk,1973,,200407.76,557593.13,Gorredijk%2005.jpg,,,,
Gorredijk,6,Opsterland 26,110308,Voorm. H.K. Gorredijk,,,200407.76,557593.13,Gorredijk%2006.jpg,,,,
Gorredijk,7,Opsterland 27,110308,Postkantoor,1952,W,200428.21,557550.73,Gorredijk%2007.jpg,,,,
Gorredijk,8,Opsterland 18,110335,Doopsgezinde kerk Gorredijk,1952,ZO,200428.65,558122.55,Gorredijk%2008.jpg,,,,
Gorredijk,9,Opsterland 26,110308,H.K. Gorredijk,1952,ZW,200407.76,557593.13,Gorredijk%2009.jpg,,,,
Gorredijk,10,Opsterland 18,110335,Doopsgezinde kerk Gorredijk,1987,,200428.65,558122.55,Gorredijk%2010.jpg,,,,
Gorssel,1,Gorssel 2,330319,H.K. Gorssel,4 juli 1913,W,210508.45,468088.32,Gorssel%2001.jpg,,,,
Gorssel,2,Gorssel 6,330811,Villa Ravensweerd,29-Apr-43,ZW,209891.55,468901.21,Gorssel%2002.jpg,,,,
Gorssel,3,Gorssel 9,330322,Kasteel Dorth,18 juni 1943,ZW,215902.2,471292.17,Gorssel%2003.jpg,,,,
Gortel,1,Epe 14,279305,Bijzondere school,1942,W,189659.85,480740.26,Gortel%2001.jpg,,,,
Gouda,1,Gouda 1,389102,H.K. Gouda,1964,,108555.35,447156.15,Gouda%2001.jpg,,,,
Gouda,2,Gouda 1,389102,H.K. Gouda,1964,,108555.35,447156.15,Gouda%2002.jpg,,,,
Gouda,3,Gouda 1,389102,H.K. Gouda,1950,W,108555.35,447156.15,Gouda%2003.jpg,,,,
Gouda,4,Gouda 1,389102,H.K. Gouda,1950,NW,108555.35,447156.15,Gouda%2004.jpg,,,,
Gouda,5,Gouda 4,389337,Watertoren,2 juli 1913,W,108118.53,446108.55,Gouda%2005.jpg,,,,
Gouda,6,Gouda 2,389...,R.K.K. Gouda,2 juli 1913,N,108447.95,446963.26,Gouda%2006.jpg,,,,
Gouda,7,Gouda 4,389337,Watertoren,1964,,108118.53,446108.55,Gouda%2007.jpg,,,,
Gouda,8,Gouda 3,389...,R.K.K. O.L.V. Hemelvaart Gouda,2 juli 1913,NW,108506.11,447511.05,Gouda%2008.jpg,gesloopt?,,,
Gouda,9,Gouda 1,389102,H.K. Gouda,2 sep 1897,ZW,108555.35,447156.15,Gouda%2009.jpg,,,,
Gouderak,1,Gouderak 1,389...,H.K. Gouderak,22-Jun-16,Z,106082.9,444325.86,Gouderak%2001.jpg,,,,
Goudriaan,1,Goudriaan 1,380317,H.K. Goudriaan,1963,,120628.11,435105.34,Goudriaan%2001.jpg,,,,
Goudriaan,2,Goudriaan 1,380317,H.K. Goudriaan,1963,,120628.11,435105.34,Goudriaan%2002.jpg,,,,
Goudriaan,3,Goudriaan 1,380317,H.K. Goudriaan,6 juli 1956,Z,120628.11,435105.34,Goudriaan%2003.jpg,,,,
Goudriaan,4,Goudriaan 1,380317,H.K. Goudriaan,16 augustus 1916,Z,120628.11,435105.34,Goudriaan%2004.jpg,,,,
Goudswaard,1,Goudswaard 1,439302,H.K. Goudswaard,24 juni 1913,ZW,78229.86,423542.79,Goudswaard%2001.jpg,,,,
Goudswaard,2,Goudswaard 2,439302,H.K. Goudswaard,,,78229.86,423542.79,Goudswaard%2002.jpg,,,,
Goutum,1,Leeuwarden 33,69303,H.K. Goutum,1960,,183049.3,576952.94,Goutum%2001.jpg,,,,
Goutum,2,Leeuwarden 33,69303,H.K. Goutum,1951,ZO,183049.3,576952.94,Goutum%2002.jpg,,,,
Graauw,1,Graauw 1,559204,R.K.K. Graauw,5 augustus 1953,NW,65605.87,371905.9,Graauw%2001.jpg,,,,
